,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00208_m,-0.0009688538530009767,-0.0008921766554521615,-0.0009699550932095674,-0.0009534074906194447,-0.0009671939008747535,-0.0009821382881039305,-0.000977225729233035,-0.000572740965287435
EX_cpd00159_m,-0.00029336494922917004,-0.00032838224909984004,-1.0897889433293673e-05,5.745838709871054e-05,9.50961881068732e-05,-0.00035889209820325063,0.0006848741588276197,0.00015828694514505304
EX_cpd01262_m,-5.059903511755069e-15,3.5180023467751146e-14,-5.19498807952099e-12,-9.000905238248776e-13,-1.737314992500704e-11,-1.1044871495788694e-15,-1.0593074473778946e-14,1.0182424121236949e-11
EX_cpd00314_m,-0.0009147528871037618,-0.0008947864275712803,-0.0008966660741687997,-0.0008619932860652529,-0.0008913221597241538,-0.0008610130937038653,-0.0009165940724892745,-0.00041983771196065433
EX_cpd11574_m,1.0378021132112226e-14,4.791286869153329e-13,4.676516869796201e-14,1.765709297196065e-13,1.6746532785485445e-12,1.210490862521307e-14,3.608294930561313e-15,-1.1894750066825378e-06
EX_cpd00141_m,-0.008055216891741546,-0.006930198703139777,-0.00737150047300519,-0.004941382260502301,-0.004077640426605749,0.0007548282119323778,-0.0025022333234443576,-0.008432980969454214
EX_cpd00012_m,-6.446272408960375e-05,0.0028837119317960563,0.032009621171649245,0.1380119455462787,0.23377996323756964,-0.0009648256449363256,0.025585510303767645,0.054766734770379646
EX_cpd01132_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00396_m,-0.0008277504410197723,-0.0007675399587397047,-0.0007178389950620274,-0.0007272674983566229,-0.0006589247292688575,-0.0007733263719675687,-0.0007454504459201133,-0.0007542521218799707
EX_cpd00036_m,-3.7179683634036564e-05,-2.7107255534453145e-05,-0.0004082841643899826,0.001492298607784548,-7.559409631952008e-05,-0.0002653651548900626,0.00030747806333941696,-0.00025911201957740104
EX_cpd00065_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cpd01217_m,-0.0007870557229657307,-0.0007352804290948894,-0.0005281938065935191,-0.0006142622865656627,-0.00028953369442107774,-0.0006872563063763937,-5.759090077529262e-05,-0.0008851859774997159
EX_cpd00211_m,0.005003226877918229,0.010100294633978674,0.009813342913329776,0.008969211520560837,0.0031583452490230018,0.00892995658106345,0.010211437713595676,0.011787599952141632
EX_cpd00751_m,-0.0008271055903652962,-0.0007551226205550907,-0.0007688629459913674,-0.0007812177054696719,-0.0005283754025450705,-0.0007543648804282095,-0.0006651534683778293,-0.0005493292720305015
EX_cpd00035_m,-0.00030234027445175116,-0.0033333202483909474,0.00011209273640133688,-0.09775685991074567,-0.09882193726718924,-0.09970475191427397,-0.09842167236138977,-0.10478415665166096
EX_cpd00132_m,-0.0003051260125526006,-0.0054259496250096025,-0.0003148087288391252,-0.00022261923720191137,-0.00027374888592006114,-0.0008346168231532176,-0.0003527447814886542,-0.0036728639955400638
EX_cpd00099_m,4.926027581809183e-15,-3.282298521762384e-08,4.098242286495298e-12,-4.2289116580955706e-10,-3.680032395202074e-12,-2.066150073214926e-11,-1.1146707488807215e-11,-4.445544471706482e-10
